Date,Solana Price
2020-01-01,1462.97
2020-01-08,863.7
2020-01-15,3049.89
2020-01-22,1361.82
2020-01-29,3080.51
2020-02-05,3974.08
2020-02-12,4492.61
2020-02-19,2360.1
2020-02-01,2688.02
2020-02-26,137.15
2020-03-04,3843.3
2020-03-11,675.62
2020-03-01,1107.6
2020-03-18,3129.41
2020-03-25,3905.12
2020-04-01,4120.47
2020-04-08,356.95
2020-04-15,4370.14
2020-04-22,2014.31
2020-04-29,3809.8
2020-05-01,2506.36
2020-05-06,1591.23
2020-05-13,4988.49
2020-05-20,947.85
2020-05-27,3371.94
2020-06-03,1544.45
2020-06-10,4268.37
2020-06-17,3571.14
2020-06-01,3829.88
2020-06-24,4009.45
2020-07-01,4364.06
2020-07-08,2711.81
2020-07-15,1407.14
2020-07-22,2706.12
2020-07-29,4252.37
2020-08-05,3361.95
2020-08-01,2225.92
2020-08-12,4204.89
2020-08-19,4586.91
2020-08-26,616.7
2020-09-01,2155.32
2020-09-02,2629.78
2020-09-09,2128.46
2020-09-16,4243.69
2020-09-23,459.35
2020-09-30,112.44
2020-10-07,654.54
2020-10-14,2074.68
2020-10-01,1576.0
2020-10-21,2372.1
2020-10-28,199.95
2020-11-04,3184.64
2020-11-01,1904.09
2020-11-11,3409.42
2020-11-18,3293.9
2020-11-25,259.62
2020-12-01,4277.64
2020-12-02,955.15
2020-12-09,3641.12
2020-12-16,4730.36
2020-12-23,1923.9
2020-12-30,889.34
2021-01-06,3763.13
2021-01-13,3302.0
2021-01-01,1487.61
2021-01-20,1457.26
2021-01-27,3908.3
2021-02-03,1369.8
2021-02-01,4290.23
2021-02-10,4905.38
2021-02-17,2787.06
2021-02-24,205.21
2021-03-01,2891.65
2021-03-03,3064.16
2021-03-10,188.33
2021-03-17,2132.05
2021-03-24,1291.52
2021-03-31,1134.09
2021-04-07,982.33
2021-04-14,3130.89
2021-04-01,4438.24
2021-04-21,2831.67
2021-04-28,1449.63
2021-05-05,3508.72
2021-05-01,3235.03
2021-05-12,2046.37
2021-05-19,1170.38
2021-05-26,1016.63
2021-06-01,3317.96
2021-06-02,3539.18
2021-06-09,3904.52
2021-06-16,4047.39
2021-06-23,1320.48
2021-06-30,1052.82
2021-07-07,1453.2
2021-07-14,4481.58
2021-07-01,3679.71
2021-07-21,812.63
2021-07-28,3291.04
2021-08-04,4737.82
